date,open,high,previsao
1503014400000,4285.08,4340.62,0
1503018000000,4269.36,4269.36,0
1503021600000,4251.95,4298.64,0
1503025200000,4244.77,4308.7,1
1503028800000,4292.39,4292.39,0
1503032400000,4287.92,4340.62,0
1503036000000,4313.56,4316.98,0
1503039600000,4279.46,4304.67,0
1503043200000,4285,4320.71,0
1503046800000,4265.33,4327.25,0
1503050400000,4304.15,4371.52,1
1503054000000,4356.31,4357.37,0
1503057600000,4340.31,4340.31,0
1503061200000,4302.97,4318.16,0
1503064800000,4293.09,4293.09,0
1503068400000,4259.4,4259.4,0
1503072000000,4236.89,4283.79,0
1503075600000,4250.34,4250.34,0
1503079200000,4171.17,4297.75,1
1503082800000,4086.28,4136.48,0
1503086400000,4135,4135,0
1503090000000,4015.4,4015.4,0
1503093600000,3975.69,4131.83,1
1503097200000,4113.75,4136.48,0
1503100800000,4108.37,4178.31,1
1503104400000,4163.49,4184.69,0
1503108000000,4148.53,4184,0
1503111600000,4156.39,4180,0
1503115200000,4138.55,4156,0
1503118800000,4068.26,4123.95,0
1503122400000,4077,4082,0
1503126000000,3969.12,4033.47,1
1503129600000,4033.47,4064.84,0
1503133200000,3999,4082.25,1
1503136800000,4054,4082,0
1503140400000,4016,4033,0
1503144000000,3945.12,4095,1
1503147600000,4095,4100,0
1503151200000,4066,4068.31,0
1503154800000,4042.41,4063.44,0
1503158400000,3972.05,4049.69,1
1503162000000,4000,4048.99,0
1503165600000,4027.37,4096,1
1503169200000,4086.29,4103.92,0
1503172800000,4088.71,4103.92,0
1503176400000,4075.98,4149.99,1
1503180000000,4074.23,4141,1
1503183600000,4139.98,4139.98,0
1503187200000,4139.98,4139.98,0
1503190800000,4086.09,4086.09,0
1503194400000,4082.53,4124.69,0
1503198000000,4124.69,4124.69,0
1503201600000,4094.62,4094.62,0
1503205200000,4093,4142.16,0
1503208800000,4117.41,4117.41,0
1503212400000,4115.41,4156.56,0
1503216000000,4155.87,4211.08,0
1503219600000,4184.73,4184.73,0
1503223200000,4155,4155,0
