date,open,high,aumenta
1.50301E+12,4285.08,4340.62,0
1.50302E+12,4269.36,4269.36,0
1.50302E+12,4251.95,4298.64,0
1.50303E+12,4244.77,4308.7,1
1.50303E+12,4292.39,4292.39,0
1.50303E+12,4287.92,4340.62,0
1.50304E+12,4313.56,4316.98,0
1.50304E+12,4279.46,4304.67,0
1.50304E+12,4285,4320.71,0
1.50305E+12,4265.33,4327.25,0
1.50305E+12,4304.15,4371.52,1
1.50305E+12,4356.31,4357.37,0
1.50306E+12,4340.31,4340.31,0
1.50306E+12,4302.97,4318.16,0
1.50306E+12,4293.09,4293.09,0
1.50307E+12,4259.4,4259.4,0
1.50307E+12,4236.89,4283.79,0
1.50308E+12,4250.34,4250.34,0
1.50308E+12,4171.17,4297.75,1
1.50308E+12,4086.28,4136.48,0
1.50309E+12,4135,4135,0
1.50309E+12,4015.4,4015.4,0
1.50309E+12,3975.69,4131.83,1
1.5031E+12,4113.75,4136.48,0
1.5031E+12,4108.37,4178.31,1
1.5031E+12,4163.49,4184.69,0
1.50311E+12,4148.53,4184,0
1.50311E+12,4156.39,4180,0
1.50312E+12,4138.55,4156,0
1.50312E+12,4068.26,4123.95,0
1.50312E+12,4077,4082,0
1.50313E+12,3969.12,4033.47,1
1.50313E+12,4033.47,4064.84,0
1.50313E+12,3999,4082.25,1
1.50314E+12,4054,4082,0
1.50314E+12,4016,4033,0
1.50314E+12,3945.12,4095,1
1.50315E+12,4095,4100,0
1.50315E+12,4066,4068.31,0
1.50315E+12,4042.41,4063.44,0
1.50316E+12,3972.05,4049.69,1
1.50316E+12,4000,4048.99,0
1.50317E+12,4027.37,4096,1
1.50317E+12,4086.29,4103.92,0
1.50317E+12,4088.71,4103.92,0
1.50318E+12,4075.98,4149.99,1
1.50318E+12,4074.23,4141,1
1.50318E+12,4139.98,4139.98,0
1.50319E+12,4139.98,4139.98,0
1.50319E+12,4086.09,4086.09,0
1.50319E+12,4082.53,4124.69,0
1.5032E+12,4124.69,4124.69,0
1.5032E+12,4094.62,4094.62,0
1.50321E+12,4093,4142.16,0
1.50321E+12,4117.41,4117.41,0
1.50321E+12,4115.41,4156.56,0
1.50322E+12,4155.87,4211.08,0
1.50322E+12,4184.73,4184.73,0
1.50322E+12,4155,4155,0
1.50323E+12,4104.68,4125.44,0
1.50323E+12,4106.53,4125.43,0
1.50323E+12,4108.47,4125,0
1.50324E+12,4063.35,4096.32,0
1.50324E+12,4096.32,4125,0
1.50324E+12,4125,4150,0
1.50325E+12,4131.46,4138.07,0
1.50325E+12,4129.32,4158.61,0
1.50326E+12,4154.56,4185.94,0
1.50326E+12,4161.59,4171.62,0
1.50326E+12,4140.93,4156.56,0
1.50327E+12,4162.59,4169.98,0
1.50327E+12,4151.14,4171.62,0
1.50327E+12,4069.13,4119.62,0
1.50328E+12,4108.28,4114.86,0
1.50328E+12,4094.6,4109.26,0
1.50328E+12,4079.94,4104.68,0
1.50329E+12,4079.26,4104.68,0
1.50329E+12,4104.68,4104.68,0
1.5033E+12,4011.04,4032.01,0
1.5033E+12,3982.96,4055.92,1
1.5033E+12,4043.63,4055.92,0
1.50331E+12,4036.3,4077.07,0
1.50331E+12,4066,4088.12,0
1.50331E+12,4088.1,4088.1,0
1.50332E+12,4023.11,4023.11,0
1.50332E+12,4000,4023.11,0
1.50332E+12,3914.59,4023.11,1
1.50333E+12,3989.17,4022,0
1.50333E+12,4022,4029.05,0
1.50333E+12,4029.05,4029.06,0
1.50334E+12,3997.57,4029.06,0
1.50334E+12,3918.8,4042.11,1
1.50335E+12,4027.05,4042.11,0
1.50335E+12,4025.04,4070.49,0
1.50335E+12,4039.1,4041.23,0
1.50336E+12,4041.1,4041.1,0
1.50336E+12,4016,4016,0
1.50336E+12,3790,3890.51,1
1.50337E+12,3700,3849.98,1
1.50337E+12,3849.98,3862.39,0
1.50337E+12,3863,3868.57,0
1.50338E+12,3500.8,3695.62,1
1.50338E+12,3626.99,3854.46,1
1.50339E+12,3803,3803,0
1.50339E+12,3798.08,3805.76,0
1.50339E+12,3794.12,3920.31,1
1.5034E+12,3904.56,3904.56,0
1.5034E+12,3844.07,3905.56,1
1.5034E+12,3866.48,3990.12,1
1.50341E+12,3949.01,3964.75,0
1.50341E+12,3874.38,3920.99,0
1.50341E+12,3829.5,3921.63,1
1.50342E+12,3858.23,3952.89,1
1.50342E+12,3905.84,3998.99,1
1.50342E+12,3944,4104.82,1
1.50343E+12,4071.22,4101.24,0
1.50343E+12,3984.5,4061.54,1
1.50344E+12,3960.29,4038.96,1
1.50344E+12,3999.96,4046.11,0
1.50344E+12,4009.1,4045,0
1.50345E+12,4040,4077.18,0
1.50345E+12,4048.1,4100,0
1.50345E+12,4101.53,4127.99,0
1.50346E+12,4083.72,4126.99,0
1.50346E+12,4084.54,4115.87,0
1.50346E+12,4084,4110,0
1.50347E+12,4064,4099.99,0
1.50347E+12,4089.45,4098.88,0
1.50348E+12,4081.63,4124,0
1.50348E+12,4123.88,4242.32,1
1.50348E+12,4208.11,4228.02,0
1.50349E+12,4228.02,4237.99,0
1.50349E+12,4205.98,4265.8,0
1.50349E+12,4215.68,4230.92,0
1.5035E+12,4166.89,4212.29,0
1.5035E+12,4174,4226.95,0
1.5035E+12,4197.05,4259.58,0
1.50351E+12,4220.56,4231,0
1.50351E+12,4166.27,4191.71,0
1.50351E+12,4143.37,4168.9,0
1.50352E+12,4117.07,4136.48,0
1.50352E+12,4105.25,4178.65,1
1.50353E+12,4090,4152,1
1.50353E+12,4151.88,4169.99,0
1.50353E+12,4147,4154.55,0
1.50354E+12,4132,4195,1
1.50354E+12,4141.88,4204.55,1
1.50354E+12,4146.97,4163.59,0
1.50355E+12,4113.58,4148.19,0
1.50355E+12,4113.98,4177.64,1
1.50355E+12,4132.09,4177.18,0
1.50356E+12,4153.97,4173.99,0
1.50356E+12,4153.8,4206.88,0
1.50357E+12,4200,4224,0
1.50357E+12,4166,4250.94,1
1.50357E+12,4173.98,4215.74,0
1.50358E+12,4211.78,4224.64,0
1.50358E+12,4167.69,4184.48,0
1.50358E+12,4173.11,4250.9,1
1.50359E+12,4235.9,4250.78,0
1.50359E+12,4223.06,4250.71,0
1.50359E+12,4225.5,4236,0
1.5036E+12,4188.18,4221,0
1.5036E+12,4234,4250.77,0
1.5036E+12,4216.1,4245,0
1.50361E+12,4208.1,4234,0
1.50361E+12,4207,4330.61,1
1.50362E+12,4326.24,4371.68,0
1.50362E+12,4316.01,4369,0
1.50362E+12,4368,4370,0
1.50363E+12,4333.01,4363.71,0
1.50363E+12,4346.14,4363.71,0
1.50363E+12,4312.69,4362,0
1.50364E+12,4310.2,4340,0
1.50364E+12,4294.79,4333.96,0
1.50364E+12,4302.72,4335,0
1.50365E+12,4317.81,4354.35,0
1.50365E+12,4332.17,4352,0
1.50366E+12,4344.56,4344.56,0
1.50366E+12,4331.67,4361.28,0
1.50366E+12,4361.27,4361.27,0
1.50367E+12,4309.69,4345,0
1.50367E+12,4312,4340,0
1.50367E+12,4305,4422.29,1
1.50368E+12,4394.36,4453.91,0
1.50368E+12,4447.31,4447.31,0
1.50368E+12,4409.44,4449.44,0
1.50369E+12,4449.44,4449.44,0
1.50369E+12,4326,4326,0
1.50369E+12,4286.29,4336.13,0
1.5037E+12,4288.99,4365,1
1.5037E+12,4303.37,4343.18,0
1.50371E+12,4280.68,4315,0
1.50371E+12,4281,4315,0
1.50371E+12,4284,4305.75,0
1.50372E+12,4245.01,4297.94,0
1.50372E+12,4297.94,4297.94,0
1.50372E+12,4297.94,4319.67,0
1.50373E+12,4307.72,4319.7,0
1.50373E+12,4319.7,4319.7,0
1.50373E+12,4319.7,4319.7,0
1.50374E+12,4319.7,4319.7,0
1.50374E+12,4274.84,4317.99,0
1.50375E+12,4307.5,4317.99,0
1.50375E+12,4288.72,4306.74,0
1.50375E+12,4260.41,4295,0
1.50376E+12,4258.53,4274,0
1.50376E+12,4274,4275,0
1.50376E+12,4275,4275,0
1.50377E+12,4265.97,4272.99,0
1.50377E+12,4255.19,4273,0
1.50377E+12,4272,4351.32,1
1.50378E+12,4293.52,4335.06,0
1.50378E+12,4333.56,4345,0
1.50378E+12,4323.06,4330,0
1.50379E+12,4300,4367,1
1.50379E+12,4332.51,4368.2,0
1.5038E+12,4339,4383.03,0
1.5038E+12,4379.5,4400,0
1.5038E+12,4368.1,4379.24,0
1.50381E+12,4329.19,4370.85,0
1.50381E+12,4328,4342.19,0
1.50381E+12,4320.52,4344.9,0
1.50382E+12,4335.11,4342.96,0
1.50382E+12,4331.29,4352.34,0
1.50382E+12,4323.9,4345.81,0
1.50383E+12,4320.81,4330,0
1.50383E+12,4302.73,4344.99,0
1.50384E+12,4323.37,4340,0
1.50384E+12,4314.11,4333.68,0
1.50384E+12,4312.69,4324.36,0
1.50385E+12,4312.19,4335,0
1.50385E+12,4290.01,4339.99,0
1.50385E+12,4339.99,4370.92,0
1.50386E+12,4369,4370.92,0
1.50386E+12,4368.41,4386.78,0
1.50386E+12,4336.12,4386.79,0
1.50387E+12,4386,4386,0
1.50387E+12,4370,4371.42,0
1.50387E+12,4315.16,4367.4,0
1.50388E+12,4310.01,4326.99,0
1.50388E+12,4282.2,4317.2,0
1.50389E+12,4280.04,4330.36,0
1.50389E+12,4295,4310,0
1.50389E+12,4239.37,4252.76,0
1.5039E+12,4227,4251.92,0
1.5039E+12,4223.8,4282.07,0
1.5039E+12,4221.04,4297.11,1
1.50391E+12,4261.9,4305,0
1.50391E+12,4252.7,4298.83,0
1.50391E+12,4227,4317.21,1
1.50392E+12,4290.77,4365.4,1
1.50392E+12,4308,4347,0
1.50393E+12,4280,4347,1
1.50393E+12,4295.32,4320.9,0
1.50393E+12,4291.13,4315,0
1.50394E+12,4273.59,4341.99,1
1.50394E+12,4322.65,4370.45,0
1.50394E+12,4324.67,4362.99,0
1.50395E+12,4312.69,4361.37,0
1.50395E+12,4321.65,4339.8,0
1.50395E+12,4312.43,4349.98,0
1.50396E+12,4331.47,4399.82,1
1.50396E+12,4353.32,4386.69,0
1.50396E+12,4386.69,4386.69,0
1.50397E+12,4349.44,4386.69,0
1.50397E+12,4349.55,4359.99,0
